trajectory_id,t,split,action,reward,logged_behavior_action,always_eco_action,never_eco_action,heuristic_risk_rule_action,non_causal_fqi_action,causal_fqi_action,causal_no_history_fqi_action,causal_no_vehicle_id_fqi_action
12229,0,test,0,-0.7040000000000001,0,1,0,0,0,0,0,0
12229,1,test,1,-0.6348,1,1,0,0,0,1,1,1
12229,2,test,1,-2.6922,1,1,0,1,1,0,1,0
12229,3,test,1,-0.6842,1,1,0,0,1,1,1,1
12229,4,test,1,-0.2562,1,1,0,0,1,0,0,0
12229,5,test,1,-10.9364,1,1,0,1,1,1,1,1
12229,6,test,0,-0.3564,0,1,0,0,0,0,0,0
12230,0,test,0,-2.4368,0,1,0,0,1,0,0,0
12230,1,test,0,-2.195,0,1,0,1,0,0,0,0
12230,2,test,0,-12.3236,0,1,0,1,0,0,0,0
12230,3,test,0,-2.1736,0,1,0,1,0,1,0,1
12230,4,test,0,-2.6332,0,1,0,0,0,0,0,0
12230,5,test,0,-2.877,0,1,0,1,0,0,0,0
12230,6,test,0,-2.6308,0,1,0,1,0,0,0,0
12230,7,test,0,-12.6,0,1,0,0,0,0,0,0
12230,8,test,0,-0.3032,0,1,0,1,0,0,0,0
12230,9,test,1,-2.3348,1,1,0,1,1,0,1,0
12231,0,test,0,-6.2068,0,1,0,0,0,0,0,0
12231,1,test,1,-2.844,1,1,0,1,1,1,1,1
12232,0,test,1,-0.8608000000000001,1,1,0,1,1,1,1,1
12232,1,test,0,-0.4384,0,1,0,1,0,0,1,1
12232,2,test,0,-2.7894,0,1,0,1,0,0,1,0
12232,3,test,0,-2.7632,0,1,0,1,0,0,0,0
12232,4,test,1,-0.61,1,1,0,0,1,1,1,1
12233,0,test,0,-1.0994,0,1,0,0,0,0,0,0
12233,1,test,1,-0.942,1,1,0,1,1,1,1,1
12233,2,test,0,-2.6102,0,1,0,1,1,0,0,0
12233,3,test,1,-1.8262,1,1,0,0,0,0,1,1
12233,4,test,1,-10.432,1,1,0,0,1,1,1,1
12233,5,test,1,-2.877,1,1,0,1,1,0,1,1
12233,6,test,1,-1.398,1,1,0,0,1,1,1,1
12233,7,test,1,-1.0474,1,1,0,1,1,1,1,1
12233,8,test,0,-1.2714,0,1,0,1,0,0,0,0
12233,9,test,1,-8.5976,1,1,0,0,1,1,1,0
12233,10,test,1,-3.4146,1,1,0,1,1,1,1,1
12233,11,test,1,-2.734,1,1,0,0,1,1,1,1
12233,12,test,1,-0.6230000000000001,1,1,0,1,1,1,1,1
12233,13,test,0,-1.079,0,1,0,0,0,0,0,0
12234,0,test,1,-0.6652,1,1,0,0,0,1,1,1
12234,1,test,0,-8.508000000000001,0,1,0,0,1,0,0,0
12235,0,test,0,-0.987,0,1,0,1,0,0,0,0
12235,1,test,1,-4.4887999999999995,1,1,0,1,1,1,1,1
12235,2,test,1,-10.157,1,1,0,0,0,0,0,0
12235,3,test,1,-0.1398,1,1,0,0,1,1,1,1
12235,4,test,0,-0.8236000000000001,0,1,0,1,1,0,0,0
12235,5,test,1,-2.8476,1,1,0,1,1,0,0,0
12236,0,test,0,-0.6268,0,1,0,1,0,0,0,0
12236,1,test,1,-20.9182,1,1,0,0,0,0,0,1
12236,2,test,1,-0.3656,1,1,0,1,1,1,1,1
12236,3,test,1,-2.1802,1,1,0,1,1,1,1,1
12237,0,test,1,-0.781,1,1,0,1,1,0,1,1
12237,1,test,0,-2.8056,0,1,0,1,1,0,0,0
12237,2,test,1,-0.0724,1,1,0,1,1,1,1,1
12237,3,test,1,-2.3052,1,1,0,1,1,1,1,1
12237,4,test,0,-2.3504,0,1,0,0,0,1,1,0
12237,5,test,0,-0.4478,0,1,0,1,0,0,0,0
12237,6,test,0,-0.4714,0,1,0,0,0,0,0,0
12238,0,test,0,-0.3914,0,1,0,1,1,0,0,0
12238,1,test,1,-2.9102,1,1,0,1,1,1,1,1
12238,2,test,0,-7.4782,0,1,0,0,1,0,0,0
12238,3,test,0,-0.629,0,1,0,1,0,0,0,0
12238,4,test,1,-2.8292,1,1,0,1,1,1,1,1
12239,0,test,0,-5.8244,0,1,0,0,0,0,0,0
12239,1,test,1,-8.0144,1,1,0,0,1,1,1,1
12239,2,test,0,-12.8312,0,1,0,0,1,0,0,0
12239,3,test,1,-12.925,1,1,0,1,0,1,1,1
12239,4,test,1,-5.087,1,1,0,0,1,0,0,0
12239,5,test,1,-0.8268000000000001,1,1,0,1,1,1,1,1
12239,6,test,0,-28.9904,0,1,0,0,1,0,0,0
12239,7,test,0,-1.1638,0,1,0,1,1,1,1,1
12239,8,test,1,-2.6432,1,1,0,0,1,1,1,1
12240,0,test,0,-3.0438,0,1,0,0,0,0,0,0
12240,1,test,1,-0.1238,1,1,0,0,1,0,0,1
12240,2,test,1,-2.7852,1,1,0,1,1,1,1,1
12240,3,test,0,-2.5668,0,1,0,0,1,0,1,0
12241,0,test,1,-12.683,1,1,0,1,1,1,1,1
12241,1,test,0,-2.724,0,1,0,1,0,0,1,0
12241,2,test,1,-52.1114,1,1,0,0,1,1,1,1
12241,3,test,1,-2.8534,1,1,0,1,1,1,1,1
12241,4,test,1,-2.7442,1,1,0,1,1,1,1,1
12241,5,test,0,-2.7106,0,1,0,1,0,1,1,0
12241,6,test,0,-2.9818,0,1,0,1,1,1,1,1
12242,0,test,1,-0.3934,1,1,0,1,1,1,1,0
12242,1,test,0,-2.9722,0,1,0,1,0,1,1,0
12242,2,test,0,-0.7406,0,1,0,1,0,1,1,1
12242,3,test,0,-2.54,0,1,0,1,0,0,0,0
12242,4,test,1,-2.8866,1,1,0,1,1,1,1,1
12242,5,test,0,-0.9828,0,1,0,1,0,0,1,0
12242,6,test,0,-16.7012,0,1,0,0,1,1,0,0
12242,7,test,1,-0.497,1,1,0,0,1,1,1,1
12242,8,test,1,-0.967,1,1,0,1,1,1,1,1
12243,0,test,1,-2.19,1,1,0,0,1,0,0,0
12243,1,test,0,-16.3508,0,1,0,0,0,0,0,0
12243,2,test,1,-1.2802,1,1,0,1,1,1,1,1
12243,3,test,0,-3.0056,0,1,0,0,0,0,0,0
12243,4,test,0,-2.4128,0,1,0,1,0,0,0,0
12243,5,test,0,-3.968,0,1,0,1,0,0,0,0
12243,6,test,1,-19.3778,1,1,0,0,0,0,0,0
12243,7,test,1,-27.865,1,1,0,0,0,0,0,1
12243,8,test,0,-2.7924,0,1,0,1,0,1,0,0
12243,9,test,1,-0.706,1,1,0,0,0,0,0,0
12243,10,test,0,-0.3624,0,1,0,0,1,0,0,0
12244,0,test,0,-4.2002,0,1,0,0,0,0,0,0
12244,1,test,0,-2.9438,0,1,0,1,1,1,1,1
12244,2,test,1,-2.9744,1,1,0,1,1,1,1,1
12244,3,test,0,-0.7056,0,1,0,1,1,0,0,0
12244,4,test,0,-0.955,0,1,0,1,0,0,0,0
12245,0,test,0,-3.0554,0,1,0,1,1,0,0,0
12245,1,test,1,-12.8432,1,1,0,1,1,1,1,1
12245,2,test,0,-1.2328,0,1,0,1,1,0,0,1
12245,3,test,1,-2.3946,1,1,0,1,1,1,1,1
12245,4,test,0,-2.9048,0,1,0,1,0,1,1,1
12245,5,test,0,-12.658,0,1,0,1,1,0,0,0
12246,0,test,1,-3.0272,1,1,0,1,1,1,1,1
12246,1,test,0,-2.4176,0,1,0,1,1,0,1,0
12246,2,test,1,-0.7246000000000001,1,1,0,1,1,1,1,1
12246,3,test,1,-2.565,1,1,0,0,1,0,0,0
12246,4,test,1,-1.0306,1,1,0,1,1,1,1,1
12246,5,test,0,-3.1038,0,1,0,1,1,1,1,1
12246,6,test,1,-1.1724,1,1,0,1,1,1,1,1
12246,7,test,1,-32.179,1,1,0,0,1,1,1,1
12246,8,test,1,-2.1942,1,1,0,1,1,1,0,1
12246,9,test,1,-3.0246000000000004,1,1,0,0,1,1,1,1
12246,10,test,1,-0.8394,1,1,0,1,1,1,1,1
12247,0,test,1,-1.012,1,1,0,1,1,1,1,1
12247,1,test,1,-0.3934,1,1,0,1,1,1,1,1
12247,2,test,1,-0.7064,1,1,0,1,1,1,1,1
12247,3,test,1,-0.984,1,1,0,1,1,1,1,1
12247,4,test,0,-0.7678,0,1,0,1,0,0,0,0
12247,5,test,1,-0.7166000000000001,1,1,0,0,1,1,1,1
12247,6,test,0,-10.1952,0,1,0,0,0,0,0,0
12247,7,test,0,-0.6364000000000001,0,1,0,1,0,0,0,0
12247,8,test,0,-0.6062000000000001,0,1,0,0,0,0,0,0
12247,9,test,1,-0.3738,1,1,0,1,1,1,1,1
12247,10,test,1,-7.6064,1,1,0,0,0,0,0,0
12247,11,test,1,-2.2966,1,1,0,1,1,1,1,1
12247,12,test,1,-2.4682,1,1,0,0,1,1,1,1
12247,13,test,1,-2.15,1,1,0,1,1,0,1,1
12248,0,test,0,-0.9432,0,1,0,1,0,0,0,0
12248,1,test,0,-0.7786,0,1,0,1,0,1,1,1
12248,2,test,1,-0.7050000000000001,1,1,0,1,1,1,1,1
12248,3,test,0,-2.3352,0,1,0,1,0,0,1,0
12248,4,test,1,-9.3508,1,1,0,0,1,0,1,0
12248,5,test,1,-64.669,1,1,0,0,1,1,1,1
12248,6,test,0,-1.1442,0,1,0,1,1,1,1,1
12248,7,test,0,-2.6144,0,1,0,1,0,0,0,1
12249,0,test,0,-15.6956,0,1,0,0,0,0,0,0
12249,1,test,1,-0.339,1,1,0,0,1,0,0,0
12249,2,test,1,-2.4472,1,1,0,1,1,0,1,1
12249,3,test,1,-10.9256,1,1,0,0,0,0,0,0
12249,4,test,1,-2.464,1,1,0,1,0,1,1,1
12249,5,test,1,-1.487,1,1,0,1,0,0,0,1
12249,6,test,0,-0.297,0,1,0,1,0,0,0,0
12250,0,test,0,-6.5078,0,1,0,0,0,0,0,0
12250,1,test,1,-2.684,1,1,0,1,1,1,0,1
12250,2,test,1,-3.5958,1,1,0,0,1,1,1,1
12250,3,test,1,-2.9684,1,1,0,1,1,1,1,1
12250,4,test,0,-0.6422,0,1,0,1,0,0,0,0
12250,5,test,0,-2.7132,0,1,0,1,0,0,0,0
12251,0,test,1,-0.2678,1,1,0,1,0,1,1,1
12251,1,test,0,-2.1822,0,1,0,1,0,1,1,1
12251,2,test,1,-0.2684,1,1,0,1,1,1,1,1
12251,3,test,1,-6.619800000000001,1,1,0,0,1,1,1,1
12251,4,test,0,-2.2382,0,1,0,0,0,0,0,0
12252,0,test,0,-2.9156,0,1,0,0,0,0,0,0
12252,1,test,1,-0.3584,1,1,0,0,1,1,1,1
12252,2,test,1,-0.2888,1,1,0,1,1,1,1,1
12252,3,test,1,-2.516,1,1,0,0,0,0,1,0
12252,4,test,1,-10.608,1,1,0,0,1,0,0,0
12253,0,test,1,-0.4342,1,1,0,1,1,1,1,1
12253,1,test,1,-10.4954,1,1,0,1,1,1,1,1
12253,2,test,1,-0.7726000000000001,1,1,0,1,1,1,1,1
12253,3,test,1,-12.7426,1,1,0,1,0,1,1,1
12253,4,test,1,-8.197,1,1,0,0,1,1,1,1
12253,5,test,0,-2.4156,0,1,0,1,0,0,0,0
12254,0,test,1,-0.6556000000000001,1,1,0,0,0,0,1,1
12254,1,test,1,-2.4216,1,1,0,1,1,1,1,1
12254,2,test,1,-0.5914,1,1,0,1,1,1,1,1
12254,3,test,0,-2.7146,0,1,0,1,0,0,0,0
12254,4,test,0,-2.454,0,1,0,1,1,0,0,0
12254,5,test,1,-0.7010000000000001,1,1,0,1,1,0,0,0
12254,6,test,0,-3.0224,0,1,0,1,0,0,0,0
12254,7,test,1,-0.6308,1,1,0,1,1,0,0,1
12255,0,test,1,-2.6398,1,1,0,1,1,1,1,1
12255,1,test,1,-0.3192,1,1,0,1,1,1,1,1
12255,2,test,0,-0.8353999999999999,0,1,0,1,1,1,1,1
12255,3,test,0,-2.6322,0,1,0,0,1,0,0,0
12255,4,test,0,-0.8648,0,1,0,1,1,1,1,1
12255,5,test,0,-2.27,0,1,0,1,0,0,0,0
12255,6,test,1,-9.0992,1,1,0,0,0,1,1,1
12256,0,test,1,-0.6334,1,1,0,0,0,1,1,1
12256,1,test,1,-1.0986,1,1,0,1,0,0,0,0
12256,2,test,1,-2.5940000000000003,1,1,0,1,1,1,1,1
12256,3,test,1,-24.098,1,1,0,0,0,0,0,0
12256,4,test,1,-4.9634,1,1,0,0,1,1,1,1
12256,5,test,1,-12.8928,1,1,0,1,0,1,1,1
12256,6,test,0,-2.7566,0,1,0,0,0,0,0,0
12256,7,test,1,-1.5658,1,1,0,1,0,1,1,1
12256,8,test,0,-0.376,0,1,0,1,0,0,0,0
12256,9,test,1,-4.0522,1,1,0,0,0,1,1,1
12256,10,test,1,-3.2350000000000003,1,1,0,1,0,1,1,1
12256,11,test,1,-0.8366,1,1,0,1,1,1,1,1
12256,12,test,1,-2.4458,1,1,0,0,1,1,1,1
12256,13,test,1,-2.987,1,1,0,1,0,1,1,1
12256,14,test,1,-0.8082000000000001,1,1,0,1,1,1,1,1
12256,15,test,1,-1.0204000000000002,1,1,0,0,0,0,0,0
12256,16,test,0,-1.2970000000000002,0,1,0,1,0,1,1,1
12257,0,test,0,-0.8266,0,1,0,1,1,0,0,0
12257,1,test,0,-2.6796,0,1,0,1,0,0,0,0
12257,2,test,1,-5.9517999999999995,1,1,0,0,0,0,0,1
12257,3,test,0,-0.1148,0,1,0,0,0,0,0,0
12257,4,test,1,-8.956399999999999,1,1,0,0,0,0,0,0
12257,5,test,0,-2.4502,0,1,0,1,0,0,0,0
12257,6,test,0,-17.7814,0,1,0,0,0,0,0,0
12257,7,test,0,-2.646,0,1,0,1,0,1,1,1
12257,8,test,0,-0.7878000000000001,0,1,0,1,0,0,0,0
12258,0,test,0,-2.344,0,1,0,0,0,0,0,0
12258,1,test,1,-15.9994,1,1,0,0,1,0,0,0
12258,2,test,0,-2.489,0,1,0,1,0,0,0,0
12259,0,test,0,-3.1734,0,1,0,0,0,0,0,0
12260,0,test,0,-1.1748,0,1,0,0,0,0,0,1
12260,1,test,0,-2.4336,0,1,0,0,0,0,0,0
12260,2,test,0,-12.6994,0,1,0,0,0,1,1,1
12260,3,test,1,-0.668,1,1,0,0,0,0,0,0
12260,4,test,1,-1.0068,1,1,0,1,1,1,1,1
12260,5,test,1,-0.884,1,1,0,1,0,0,0,0
12261,0,test,0,-2.6932,0,1,0,1,0,0,1,0
12261,1,test,0,-0.5534,0,1,0,1,0,0,0,0
12261,2,test,1,-23.3308,1,1,0,0,0,0,1,1
12261,3,test,0,-0.2624,0,1,0,0,1,0,0,0
12261,4,test,0,-2.4404,0,1,0,0,0,0,0,0
12261,5,test,1,-2.46,1,1,0,1,1,1,1,1
12262,0,test,1,-3.8,1,1,0,0,1,0,0,0
12262,1,test,0,-2.332,0,1,0,1,0,0,0,0
12262,2,test,1,-9.0704,1,1,0,0,0,1,1,0
12262,3,test,1,-2.5028,1,1,0,0,1,0,0,0
12262,4,test,0,-5.5248,0,1,0,0,1,1,1,1
12262,5,test,1,-3.3112000000000004,1,1,0,1,0,1,1,1
12263,0,test,1,-2.5214,1,1,0,1,1,1,1,1
12263,1,test,0,-12.1262,0,1,0,0,0,1,0,1
12263,2,test,1,-0.4418,1,1,0,1,1,1,1,1
12264,0,test,1,-2.9282000000000004,1,1,0,1,1,1,1,1
12264,1,test,1,-2.1228,1,1,0,1,1,1,1,0
12264,2,test,0,-5.886,0,1,0,0,0,1,0,1
12264,3,test,1,-3.0789999999999997,1,1,0,1,1,0,0,0
12264,4,test,0,-3.557,0,1,0,1,0,1,0,0
12264,5,test,1,-0.1104,1,1,0,0,1,0,1,1
12264,6,test,1,-20.2512,1,1,0,0,0,1,1,1
12264,7,test,1,-0.3798,1,1,0,1,1,1,1,1
12265,0,test,0,-0.5962,0,1,0,0,1,0,0,0
12265,1,test,1,-12.6582,1,1,0,1,1,1,1,1
12265,2,test,0,-15.0676,0,1,0,0,1,0,0,0
12265,3,test,1,-1.1556,1,1,0,1,1,1,1,1
12265,4,test,1,-0.5632,1,1,0,1,1,1,1,1
12265,5,test,0,-10.8942,0,1,0,0,1,1,1,1
12265,6,test,1,-0.2714,1,1,0,0,0,0,0,0
12265,7,test,1,-0.8958,1,1,0,1,1,1,1,1
12266,0,test,1,-0.999,1,1,0,1,1,1,1,1
12266,1,test,1,-1.1456,1,1,0,1,1,1,1,1
12266,2,test,0,-12.9666,0,1,0,1,0,1,0,1
12266,3,test,1,-0.9588,1,1,0,1,1,1,1,1
12266,4,test,1,-2.6082,1,1,0,1,1,1,1,1
12266,5,test,1,-2.6608,1,1,0,0,0,0,0,0
12266,6,test,1,-0.8018000000000001,1,1,0,1,1,1,1,1
12267,0,test,0,-2.7398,0,1,0,1,1,1,1,1
12267,1,test,1,-2.0724,1,1,0,0,0,0,0,0
12267,2,test,1,-13.4218,1,1,0,1,1,0,0,0
12267,3,test,0,-0.673,0,1,0,1,1,0,1,0
12267,4,test,1,-0.3384,1,1,0,0,1,1,1,1
12267,5,test,1,-2.926,1,1,0,0,0,0,0,0
12267,6,test,1,-2.6002,1,1,0,0,0,1,0,1
12268,0,test,0,-2.9502,0,1,0,1,0,0,0,0
12268,1,test,1,-8.5796,1,1,0,1,1,1,1,1
12268,2,test,1,-10.0972,1,1,0,1,1,1,1,1
12269,0,test,1,-2.5442,1,1,0,1,1,1,1,0
12269,1,test,0,-10.7242,0,1,0,0,0,0,0,0
12269,2,test,1,-2.2872,1,1,0,1,1,1,1,1
12269,3,test,1,-3.1012000000000004,1,1,0,1,1,1,1,1
12269,4,test,1,-0.3762,1,1,0,1,1,1,1,1
12269,5,test,0,-2.1806,0,1,0,1,0,0,0,0
12270,0,test,1,-2.4716,1,1,0,1,1,0,0,1
12270,1,test,1,-3.0182,1,1,0,1,1,0,0,0
12271,0,test,1,-0.7638,1,1,0,1,1,1,1,1
12271,1,test,0,-3.3438,0,1,0,1,1,0,0,0
12271,2,test,0,-2.8222,0,1,0,1,0,0,0,0
12271,3,test,0,-3.6086,0,1,0,1,0,0,1,0
12271,4,test,1,-1.169,1,1,0,0,1,1,1,1
12271,5,test,1,-2.7804,1,1,0,0,1,1,1,1
12271,6,test,0,-0.8454000000000002,0,1,0,1,0,0,0,0
12272,0,test,1,-0.835,1,1,0,1,1,1,1,1
12272,1,test,0,-2.5352,0,1,0,0,1,0,0,0
12272,2,test,0,-1.1442,0,1,0,1,0,0,0,0
12272,3,test,0,-3.2354000000000003,0,1,0,1,0,0,1,0
12273,0,test,1,-2.4006,1,1,0,0,1,1,1,1
12273,1,test,0,-0.9344,0,1,0,1,0,0,1,0
12273,2,test,0,-2.1756,0,1,0,0,1,0,0,0
12273,3,test,0,-2.2052,0,1,0,1,0,1,1,0
12273,4,test,1,-0.649,1,1,0,1,1,1,1,1
12273,5,test,0,-30.115,0,1,0,0,0,0,0,0
12273,6,test,1,-10.3284,1,1,0,1,1,0,0,1
12274,0,test,0,-21.7952,0,1,0,0,1,0,0,0
12274,1,test,1,-0.1386,1,1,0,1,1,1,1,1
12274,2,test,1,-0.37,1,1,0,1,1,0,1,0
12274,3,test,1,-2.9578,1,1,0,1,1,1,1,1
12275,0,test,0,-2.9766,0,1,0,1,1,1,1,1
12275,1,test,0,-0.9954,0,1,0,1,0,0,0,0
12275,2,test,0,-0.6498,0,1,0,1,1,0,0,0
12275,3,test,0,-0.22,0,1,0,1,0,0,0,0
12276,0,test,0,-1.3026,0,1,0,1,0,1,0,1
12276,1,test,0,-0.3638,0,1,0,0,0,1,0,0
12276,2,test,1,-3.0234,1,1,0,1,1,1,1,1
12276,3,test,0,-2.5906,0,1,0,0,0,1,1,1
12276,4,test,1,-9.818,1,1,0,0,1,1,1,1
12276,5,test,0,-1.47,0,1,0,1,0,0,0,0
12276,6,test,1,-25.6584,1,1,0,0,1,0,0,0
12277,0,test,1,-11.2846,1,1,0,0,0,0,0,0
12277,1,test,1,-2.8476000000000004,1,1,0,0,0,0,0,0
12277,2,test,0,-4.853800000000001,0,1,0,0,0,0,0,0
12277,3,test,0,-2.3976,0,1,0,0,1,0,0,0
12277,4,test,0,-3.9238,0,1,0,0,0,0,0,0
12277,5,test,0,-0.58,0,1,0,0,0,0,0,0
12277,6,test,1,-3.0566000000000004,1,1,0,1,1,1,1,1
12278,0,test,1,-0.8402,1,1,0,0,1,1,1,1
12278,1,test,1,-2.5836,1,1,0,1,1,1,1,1
12278,2,test,0,-19.6172,0,1,0,0,1,0,0,0
12278,3,test,0,-20.8724,0,1,0,0,1,0,0,0
12278,4,test,1,-2.3366,1,1,0,1,1,1,1,1
12278,5,test,1,-2.2282,1,1,0,1,1,0,1,0
12278,6,test,1,-0.0672,1,1,0,0,0,0,0,0
12279,0,test,1,-5.9248,1,1,0,1,1,1,1,1
12279,1,test,0,-2.9782,0,1,0,0,0,0,0,0
12279,2,test,1,-10.6202,1,1,0,0,0,0,0,0
12279,3,test,1,-2.8558,1,1,0,0,1,1,1,0
12279,4,test,1,-0.5216000000000001,1,1,0,0,1,0,1,1
12279,5,test,0,-0.5978,0,1,0,1,0,0,0,0
12279,6,test,0,-0.3698,0,1,0,0,1,0,0,0
12280,0,test,1,-0.6734,1,1,0,1,1,0,0,0
12280,1,test,0,-2.5852,0,1,0,1,0,0,0,0
12280,2,test,0,-0.7752,0,1,0,1,0,0,0,0
12280,3,test,1,-2.5768,1,1,0,0,0,0,0,0
12280,4,test,1,-3.0666,1,1,0,1,0,0,0,0
12280,5,test,1,-2.7086,1,1,0,1,1,0,0,0
12280,6,test,1,-10.4074,1,1,0,1,1,1,1,1
12280,7,test,1,-2.5134,1,1,0,0,1,1,1,1
12281,0,test,0,-23.506,0,1,0,0,0,0,0,0
12281,1,test,0,-3.7346,0,1,0,1,0,0,0,0
12281,2,test,0,-7.6742,0,1,0,0,0,0,0,0
12281,3,test,0,-12.494,0,1,0,1,0,0,0,0
12282,0,test,0,-2.807,0,1,0,1,0,0,0,0
12282,1,test,0,-17.049,0,1,0,0,0,0,0,0
12282,2,test,0,-11.4796,0,1,0,1,0,0,0,0
12283,0,test,1,-0.1128,1,1,0,1,1,1,1,1
12283,1,test,1,-16.683799999999998,1,1,0,0,1,1,1,1
12283,2,test,1,-4.361,1,1,0,0,0,0,0,0
12283,3,test,1,-0.4242,1,1,0,0,1,0,0,0
12283,4,test,1,-2.593,1,1,0,0,0,0,0,0
12283,5,test,1,-11.5502,1,1,0,1,1,1,1,1
12283,6,test,0,-32.1806,0,1,0,0,0,0,0,0
12283,7,test,0,-0.6898,0,1,0,1,0,0,0,0
12284,0,test,1,-0.193,1,1,0,0,1,1,1,1
12284,1,test,1,-3.1708,1,1,0,0,1,1,1,1
12284,2,test,1,-0.3102,1,1,0,1,1,1,1,1
12284,3,test,1,-13.0638,1,1,0,1,0,1,1,1
12284,4,test,1,-0.2196,1,1,0,1,1,1,1,1
12284,5,test,0,-10.1676,0,1,0,0,0,0,0,0
12285,0,test,0,-2.543,0,1,0,1,0,0,0,0
12285,1,test,1,-2.6414,1,1,0,0,0,0,0,0
12285,2,test,1,-27.3006,1,1,0,0,0,0,0,0
12285,3,test,1,-0.4386,1,1,0,1,1,1,1,1
12286,0,test,0,-13.1064,0,1,0,1,0,0,0,0
12286,1,test,1,-2.1976,1,1,0,0,1,0,0,0
12286,2,test,0,-7.1526,0,1,0,0,0,0,0,1
12286,3,test,1,-0.1974,1,1,0,1,1,0,0,0
12286,4,test,1,-0.1384,1,1,0,0,1,1,1,1
12287,0,test,1,-2.179,1,1,0,1,1,1,1,1
12287,1,test,1,-18.4952,1,1,0,0,1,1,1,0
12287,2,test,0,-0.3998,0,1,0,1,1,0,0,0
12287,3,test,0,-3.0806,0,1,0,1,0,1,1,0
12287,4,test,0,-2.8226,0,1,0,1,0,0,0,0
12287,5,test,1,-12.71,1,1,0,0,0,1,1,1
12287,6,test,1,-10.7148,1,1,0,1,1,1,1,1
12287,7,test,1,-2.6712,1,1,0,1,1,0,1,0
12288,0,test,1,-2.3512,1,1,0,1,1,1,1,1
12288,1,test,1,-0.8762000000000001,1,1,0,1,1,1,1,1
12288,2,test,1,-1.542,1,1,0,1,0,1,1,1
12288,3,test,1,-0.4152,1,1,0,1,1,1,1,1
12288,4,test,0,-7.3718,0,1,0,0,0,1,1,1
12288,5,test,1,-2.4078,1,1,0,1,1,1,0,1
12288,6,test,0,-2.448,0,1,0,0,0,0,0,0
12289,0,test,1,-2.3804,1,1,0,1,1,1,1,1
12289,1,test,1,-20.0138,1,1,0,0,1,1,1,1
12289,2,test,1,-11.288799999999998,1,1,0,0,0,0,0,0
12289,3,test,0,-3.1066000000000003,0,1,0,0,0,0,0,0
12290,0,test,0,-2.6728,0,1,0,1,0,1,0,0
12290,1,test,1,-0.662,1,1,0,0,1,1,1,1
12290,2,test,1,-5.269,1,1,0,1,1,1,1,1
12290,3,test,1,-2.8408,1,1,0,0,0,1,0,0
12290,4,test,1,-0.9878,1,1,0,1,1,1,1,1
12291,0,test,1,-2.7276,1,1,0,1,1,1,1,1
12291,1,test,0,-7.3194,0,1,0,0,1,1,1,1
12291,2,test,1,-2.6664,1,1,0,1,0,0,0,0
12291,3,test,1,-16.592200000000002,1,1,0,0,1,1,1,1
12292,0,test,1,-2.6799999999999997,1,1,0,0,1,1,1,0
